Measure,State,Year,Value
Miles of freight railroad,Arizona,2010,"1,683"
Miles of freight railroad,Arizona,2015,"1,780"
Miles of freight railroad,Arizona,2017,"1,820"
Miles of freight railroad,Arizona,2019,"1,759"
Miles of freight railroad,Arizona,2020,"1,759"
Miles of freight railroad,Arizona,2021,"1,724"
Miles of freight railroad,Arizona,2023,"1,730"
Miles of freight railroad,Arkansas,2010,"2,797"
Miles of freight railroad,Arkansas,2015,"2,417"
Miles of freight railroad,Arkansas,2017,"2,505"
Miles of freight railroad,Arkansas,2019,"2,552"
Miles of freight railroad,Arkansas,2020,"2,552"
Miles of freight railroad,Arkansas,2021,"2,554"
Miles of freight railroad,Arkansas,2023,"2,502"
Miles of freight railroad,California,2010,"5,307"
Miles of freight railroad,California,2015,"4,803"
Miles of freight railroad,California,2017,"4,828"
Miles of freight railroad,California,2019,"4,971"
Miles of freight railroad,California,2020,"4,971"
Miles of freight railroad,California,2021,"4,948"
Miles of freight railroad,California,2023,"4,985"
Miles of freight railroad,Colorado,2010,"2,688"
Miles of freight railroad,Colorado,2015,"2,452"
Miles of freight railroad,Colorado,2017,"2,427"
Miles of freight railroad,Colorado,2019,"2,636"
Miles of freight railroad,Colorado,2020,"2,636"
Miles of freight railroad,Colorado,2021,"2,545"
Miles of freight railroad,Colorado,2023,"2,541"
Miles of freight railroad,Connecticut,2010,364
Miles of freight railroad,Connecticut,2015,438
Miles of freight railroad,Connecticut,2017,522
Miles of freight railroad,Connecticut,2019,577
Miles of freight railroad,Connecticut,2020,577
Miles of freight railroad,Connecticut,2021,571
Miles of freight railroad,Connecticut,2023,571
Miles of freight railroad,Delaware,2010,227
Miles of freight railroad,Delaware,2015,367
Miles of freight railroad,Delaware,2017,243
Miles of freight railroad,Delaware,2019,236
Miles of freight railroad,Delaware,2020,236
Miles of freight railroad,Delaware,2021,230
Miles of freight railroad,Delaware,2023,219
Miles of freight railroad,District of Columbia,2010,23
Miles of freight railroad,District of Columbia,2015,23
Miles of freight railroad,District of Columbia,2017,22
Miles of freight railroad,District of Columbia,2019,17
Miles of freight railroad,District of Columbia,2020,17
Miles of freight railroad,District of Columbia,2021,17
Miles of freight railroad,District of Columbia,2023,16
Miles of freight railroad,Florida,2010,"2,907"
Miles of freight railroad,Florida,2015,"2,818"
Miles of freight railroad,Florida,2017,"2,851"
Miles of freight railroad,Florida,2019,"2,782"
Miles of freight railroad,Florida,2020,"2,782"
Miles of freight railroad,Florida,2021,"2,716"
Miles of freight railroad,Florida,2023,"2,691"
Miles of freight railroad,Georgia,2010,"4,679"
Miles of freight railroad,Georgia,2015,"4,422"
Miles of freight railroad,Georgia,2017,"4,607"
Miles of freight railroad,Georgia,2019,"4,521"
Miles of freight railroad,Georgia,2020,"4,521"
Miles of freight railroad,Georgia,2021,"4,538"
Miles of freight railroad,Georgia,2023,"4,633"
Miles of freight railroad,Hawaii,2010,0
Miles of freight railroad,Hawaii,2015,0
Miles of freight railroad,Hawaii,2017,0
Miles of freight railroad,Idaho,2010,"1,627"
Miles of freight railroad,Idaho,2015,"1,604"
Miles of freight railroad,Idaho,2017,"1,729"
Miles of freight railroad,Idaho,2019,"1,638"
Miles of freight railroad,Idaho,2020,"1,638"
Miles of freight railroad,Idaho,2021,"1,654"
Miles of freight railroad,Idaho,2023,"1,609"
Miles of freight railroad,Illinois,2010,"7,028"
Miles of freight railroad,Illinois,2015,"7,119"
Miles of freight railroad,Illinois,2017,"7,151"
Miles of freight railroad,Illinois,2019,"6,883"
Miles of freight railroad,Illinois,2020,"6,883"
Miles of freight railroad,Illinois,2021,"6,768"
Miles of freight railroad,Illinois,2023,"6,769"
Miles of freight railroad,Indiana,2010,"4,273"
Miles of freight railroad,Indiana,2015,"4,274"
Miles of freight railroad,Indiana,2017,"3,786"
Miles of freight railroad,Indiana,2019,"4,041"
Miles of freight railroad,Indiana,2020,"4,041"
Miles of freight railroad,Indiana,2021,"3,946"
Miles of freight railroad,Indiana,2023,"3,887"
Miles of freight railroad,Iowa,2010,"3,897"
Miles of freight railroad,Iowa,2015,"3,818"
Miles of freight railroad,Iowa,2017,"3,834"
Miles of freight railroad,Iowa,2019,"3,828"
Miles of freight railroad,Iowa,2020,"3,828"
Miles of freight railroad,Iowa,2021,"3,827"
Miles of freight railroad,Iowa,2023,"3,836"
Miles of freight railroad,Kansas,2010,"4,891"
Miles of freight railroad,Kansas,2015,"4,768"
Miles of freight railroad,Kansas,2017,"4,675"
Miles of freight railroad,Kansas,2019,"4,652"
Miles of freight railroad,Kansas,2020,"4,652"
Miles of freight railroad,Kansas,2021,"4,748"
Miles of freight railroad,Kansas,2023,"4,701"
Miles of freight railroad,Kentucky,2010,"2,526"
Miles of freight railroad,Kentucky,2015,"2,608"
Miles of freight railroad,Kentucky,2017,"2,624"
Miles of freight railroad,Kentucky,2019,"2,583"
Miles of freight railroad,Kentucky,2020,"2,583"
Miles of freight railroad,Kentucky,2021,"2,673"
Miles of freight railroad,Kentucky,2023,"2,616"
Miles of freight railroad,Louisiana,2010,"2,858"
Miles of freight railroad,Louisiana,2015,"3,041"
Miles of freight railroad,Louisiana,2017,"2,940"
Miles of freight railroad,Louisiana,2019,"2,971"
Miles of freight railroad,Louisiana,2020,"2,971"
Miles of freight railroad,Louisiana,2021,"3,001"
Miles of freight railroad,Louisiana,2023,"3,023"
Miles of freight railroad,Maine,2010,896
Miles of freight railroad,Maine,2015,"1,091"
Miles of freight railroad,Maine,2017,"1,077"
Miles of freight railroad,Maine,2019,"1,072"
Miles of freight railroad,Maine,2020,"1,072"
Miles of freight railroad,Maine,2021,"1,116"
Miles of freight railroad,Maine,2023,"1,011"
Miles of freight railroad,Maryland,2010,755
Miles of freight railroad,Maryland,2015,937
Miles of freight railroad,Maryland,2017,769
Miles of freight railroad,Maryland,2019,772
Miles of freight railroad,Maryland,2020,772
Miles of freight railroad,Maryland,2021,722
Miles of freight railroad,Maryland,2023,728
Miles of freight railroad,Massachusetts,2010,896
Miles of freight railroad,Massachusetts,2015,"1,327"
Miles of freight railroad,Massachusetts,2017,"1,057"
Miles of freight railroad,Massachusetts,2019,"1,000"
Miles of freight railroad,Massachusetts,2020,"1,000"
Miles of freight railroad,Massachusetts,2021,868
Miles of freight railroad,Massachusetts,2023,760
Miles of freight railroad,Michigan,2010,"3,634"
Miles of freight railroad,Michigan,2015,"3,234"
Miles of freight railroad,Michigan,2017,"2,417"
Miles of freight railroad,Michigan,2019,"3,465"
Miles of freight railroad,Michigan,2020,"3,465"
Miles of freight railroad,Michigan,2021,"3,429"
Miles of freight railroad,Michigan,2023,"3,349"
Miles of freight railroad,Minnesota,2010,"4,521"
Miles of freight railroad,Minnesota,2015,"4,292"
Miles of freight railroad,Minnesota,2017,"4,258"
Miles of freight railroad,Minnesota,2019,"4,233"
Miles of freight railroad,Minnesota,2020,"4,233"
Miles of freight railroad,Minnesota,2021,"4,373"
Miles of freight railroad,Minnesota,2023,"4,315"
Miles of freight railroad,Mississippi,2010,"2,454"
Miles of freight railroad,Mississippi,2015,"2,384"
Miles of freight railroad,Mississippi,2017,"2,455"
Miles of freight railroad,Mississippi,2019,"2,507"
Miles of freight railroad,Mississippi,2020,"2,507"
Miles of freight railroad,Mississippi,2021,"2,541"
Miles of freight railroad,Mississippi,2023,"2,554"
Miles of freight railroad,Missouri,2010,"4,019"
Miles of freight railroad,Missouri,2015,"3,858"
Miles of freight railroad,Missouri,2017,"3,862"
Miles of freight railroad,Missouri,2019,"3,762"
Miles of freight railroad,Missouri,2020,"3,762"
Miles of freight railroad,Missouri,2021,"3,734"
Miles of freight railroad,Missouri,2023,"3,793"
Miles of freight railroad,Montana,2010,"3,173"
Miles of freight railroad,Montana,2015,"3,781"
Miles of freight railroad,Montana,2017,"3,719"
Miles of freight railroad,Montana,2019,"3,657"
Miles of freight railroad,Montana,2020,"3,657"
Miles of freight railroad,Montana,2021,"3,680"
Miles of freight railroad,Montana,2023,"3,687"
Miles of freight railroad,Nebraska,2010,"3,236"
Miles of freight railroad,Nebraska,2015,"3,228"
Miles of freight railroad,Nebraska,2017,"3,117"
Miles of freight railroad,Nebraska,2019,"3,062"
Miles of freight railroad,Nebraska,2020,"3,062"
Miles of freight railroad,Nebraska,2021,"3,138"
Miles of freight railroad,Nebraska,2023,"3,140"
Miles of freight railroad,Nevada,2010,"1,192"
Miles of freight railroad,Nevada,2015,"1,193"
Miles of freight railroad,Nevada,2017,"1,193"
Miles of freight railroad,Nevada,2019,"1,193"
Miles of freight railroad,Nevada,2020,"1,193"
Miles of freight railroad,Nevada,2021,"1,193"
Miles of freight railroad,Nevada,2023,"1,193"
Miles of freight railroad,New Hampshire,2010,426
Miles of freight railroad,New Hampshire,2015,489
Miles of freight railroad,New Hampshire,2017,354
Miles of freight railroad,New Hampshire,2019,369
Miles of freight railroad,New Hampshire,2020,369
Miles of freight railroad,New Hampshire,2021,369
Miles of freight railroad,New Hampshire,2023,301
Miles of freight railroad,New Jersey,2010,983
Miles of freight railroad,New Jersey,2015,984
Miles of freight railroad,New Jersey,2017,952
Miles of freight railroad,New Jersey,2019,"1,039"
Miles of freight railroad,New Jersey,2020,"1,039"
Miles of freight railroad,New Jersey,2021,"1,087"
Miles of freight railroad,New Jersey,2023,"1,079"
Miles of freight railroad,New Mexico,2010,"1,835"
Miles of freight railroad,New Mexico,2015,"1,860"
Miles of freight railroad,New Mexico,2017,"1,879"
Miles of freight railroad,New Mexico,2019,"1,873"
Miles of freight railroad,New Mexico,2020,"1,873"
Miles of freight railroad,New Mexico,2021,"1,859"
Miles of freight railroad,New Mexico,2023,"1,859"
Miles of freight railroad,New York,2010,"3,479"
Miles of freight railroad,New York,2015,"3,378"
Miles of freight railroad,New York,2017,"3,279"
Miles of freight railroad,New York,2019,"3,685"
Miles of freight railroad,New York,2020,"3,685"
Miles of freight railroad,New York,2021,"3,442"
Miles of freight railroad,New York,2023,"3,378"
Miles of freight railroad,North Carolina,2010,"3,245"
Miles of freight railroad,North Carolina,2015,"2,879"
Miles of freight railroad,North Carolina,2017,"3,161"
Miles of freight railroad,North Carolina,2019,"2,847"
Miles of freight railroad,North Carolina,2020,"2,847"
Miles of freight railroad,North Carolina,2021,"3,125"
Miles of freight railroad,North Carolina,2023,"3,079"
Miles of freight railroad,North Dakota,2010,"3,346"
Miles of freight railroad,North Dakota,2015,"3,389"
Miles of freight railroad,North Dakota,2017,"3,287"
Miles of freight railroad,North Dakota,2019,"3,223"
Miles of freight railroad,North Dakota,2020,"3,223"
Miles of freight railroad,North Dakota,2021,"3,223"
Miles of freight railroad,North Dakota,2023,"3,234"
Miles of freight railroad,Ohio,2010,"5,303"
Miles of freight railroad,Ohio,2015,"4,903"
Miles of freight railroad,Ohio,2017,"5,132"
Miles of freight railroad,Ohio,2019,"5,330"
Miles of freight railroad,Ohio,2020,"5,330"
Miles of freight railroad,Ohio,2021,"5,139"
Miles of freight railroad,Ohio,2023,"5,112"
Miles of freight railroad,Oklahoma,2010,"3,273"
Miles of freight railroad,Oklahoma,2015,"3,196"
Miles of freight railroad,Oklahoma,2017,"3,158"
Miles of freight railroad,Oklahoma,2019,"3,197"
Miles of freight railroad,Oklahoma,2020,"3,197"
Miles of freight railroad,Oklahoma,2021,"3,222"
Miles of freight railroad,Oklahoma,2023,"3,225"
Miles of freight railroad,Oregon,2010,"2,395"
Miles of freight railroad,Oregon,2015,"2,423"
Miles of freight railroad,Oregon,2017,"2,382"
Miles of freight railroad,Oregon,2019,"2,308"
Miles of freight railroad,Oregon,2020,"2,308"
Miles of freight railroad,Oregon,2021,"2,369"
Miles of freight railroad,Oregon,2023,"2,307"
Miles of freight railroad,Pennsylvania,2010,"5,071"
Miles of freight railroad,Pennsylvania,2015,"5,165"
Miles of freight railroad,Pennsylvania,2017,"5,130"
Miles of freight railroad,Pennsylvania,2019,"5,189"
Miles of freight railroad,Pennsylvania,2020,"5,189"
Miles of freight railroad,Pennsylvania,2021,"5,228"
Miles of freight railroad,Pennsylvania,2023,"5,080"
Miles of freight railroad,Rhode Island,2010,19
Miles of freight railroad,Rhode Island,2015,60
Miles of freight railroad,Rhode Island,2017,58
Miles of freight railroad,Rhode Island,2019,93
Miles of freight railroad,Rhode Island,2020,93
Miles of freight railroad,Rhode Island,2021,143
Miles of freight railroad,Rhode Island,2023,143
Miles of freight railroad,South Carolina,2010,"2,293"
Miles of freight railroad,South Carolina,2015,"2,277"
Miles of freight railroad,South Carolina,2017,"2,278"
Miles of freight railroad,South Carolina,2019,"2,285"
Miles of freight railroad,South Carolina,2020,"2,285"
Miles of freight railroad,South Carolina,2021,"2,191"
Miles of freight railroad,South Carolina,2023,"2,258"
Miles of freight railroad,South Dakota,2010,"1,754"
Miles of freight railroad,South Dakota,2015,"1,736"
Miles of freight railroad,South Dakota,2017,"2,029"
Miles of freight railroad,South Dakota,2019,"1,822"
Miles of freight railroad,South Dakota,2020,"1,822"
Miles of freight railroad,South Dakota,2021,"1,868"
Miles of freight railroad,South Dakota,2023,"1,881"
Miles of freight railroad,Tennessee,2010,"2,656"
Miles of freight railroad,Tennessee,2015,"2,598"
Miles of freight railroad,Tennessee,2017,"2,552"
Miles of freight railroad,Tennessee,2019,"2,604"
Miles of freight railroad,Tennessee,2020,"2,604"
Miles of freight railroad,Tennessee,2021,"2,730"
Miles of freight railroad,Tennessee,2023,"2,643"
Miles of freight railroad,Texas,2010,"10,384"
Miles of freight railroad,Texas,2015,"10,539"
Miles of freight railroad,Texas,2017,"10,506"
Miles of freight railroad,Texas,2019,"10,460"
Miles of freight railroad,Texas,2020,"10,460"
Miles of freight railroad,Texas,2021,"10,370"
Miles of freight railroad,Texas,2023,"10,251"
Miles of freight railroad,Utah,2010,"1,356"
Miles of freight railroad,Utah,2015,"1,351"
Miles of freight railroad,Utah,2017,"1,386"
Miles of freight railroad,Utah,2019,"1,385"
Miles of freight railroad,Utah,2020,"1,385"
Miles of freight railroad,Utah,2021,"1,388"
Miles of freight railroad,Utah,2023,"1,375"
Miles of freight railroad,Vermont,2010,590
Miles of freight railroad,Vermont,2015,613
Miles of freight railroad,Vermont,2017,578
Miles of freight railroad,Vermont,2019,589
Miles of freight railroad,Vermont,2020,589
Miles of freight railroad,Vermont,2021,607
Miles of freight railroad,Vermont,2023,627
Miles of freight railroad,Virginia,2010,"3,214"
Miles of freight railroad,Virginia,2015,"3,123"
Miles of freight railroad,Virginia,2017,"3,141"
Miles of freight railroad,Virginia,2019,"3,086"
Miles of freight railroad,Virginia,2020,"3,086"
Miles of freight railroad,Virginia,2021,"3,050"
Miles of freight railroad,Virginia,2023,"3,053"
Miles of freight railroad,Washington,2010,"3,215"
Miles of freight railroad,Washington,2015,"3,056"
Miles of freight railroad,Washington,2017,"3,032"
Miles of freight railroad,Washington,2019,"2,891"
Miles of freight railroad,Washington,2020,"2,891"
Miles of freight railroad,Washington,2021,"2,867"
Miles of freight railroad,Washington,2023,"2,852"
Miles of freight railroad,West Virginia,2010,"2,228"
Miles of freight railroad,West Virginia,2015,"2,376"
Miles of freight railroad,West Virginia,2017,"2,214"
Miles of freight railroad,West Virginia,2019,"2,141"
Miles of freight railroad,West Virginia,2020,"2,141"
Miles of freight railroad,West Virginia,2021,"2,123"
Miles of freight railroad,West Virginia,2023,"2,098"
Miles of freight railroad,Wisconsin,2010,"3,387"
Miles of freight railroad,Wisconsin,2015,"3,438"
Miles of freight railroad,Wisconsin,2017,"3,253"
Miles of freight railroad,Wisconsin,2019,"3,254"
Miles of freight railroad,Wisconsin,2020,"3,254"
Miles of freight railroad,Wisconsin,2021,"3,482"
Miles of freight railroad,Wisconsin,2023,"3,105"
Miles of freight railroad,Wyoming,2010,"1,860"
Miles of freight railroad,Wyoming,2015,"1,877"
Miles of freight railroad,Wyoming,2017,"1,890"
Miles of freight railroad,Wyoming,2019,"1,877"
Miles of freight railroad,Wyoming,2020,"1,877"
Miles of freight railroad,Wyoming,2021,"1,860"
Miles of freight railroad,Wyoming,2023,"1,860"
Miles of inland waterway,United States,2010,"29,620"
Miles of inland waterway,United States,2015,"25,000"
Miles of inland waterway,United States,2016,"25,000"
Miles of inland waterway,United States,2017,"25,000"
Miles of inland waterway,United States,2018,"25,000"
Miles of inland waterway,Alabama,2010,"1,270"
Miles of inland waterway,Alabama,2015,"1,270"
Miles of inland waterway,Alabama,2016,"1,270"
Miles of inland waterway,Alabama,2017,"1,270"
Miles of inland waterway,Alabama,2018,"1,270"
Miles of inland waterway,Alaska,2010,"5,500"
Miles of inland waterway,Alaska,2015,"5,500"
Miles of inland waterway,Alaska,2016,"5,500"
Miles of inland waterway,Alaska,2017,"5,500"
Miles of inland waterway,Alaska,2018,"5,500"
Miles of inland waterway,Arkansas,2010,"1,860"
Miles of inland waterway,Arkansas,2015,"1,860"
Miles of inland waterway,Arkansas,2016,"1,860"
Miles of inland waterway,Arkansas,2017,"1,860"
Miles of inland waterway,Arkansas,2018,"1,860"
Miles of inland waterway,California,2010,290
Miles of inland waterway,California,2015,290
Miles of inland waterway,California,2016,290
Miles of inland waterway,California,2017,290
Miles of inland waterway,California,2018,290
Miles of inland waterway,Connecticut,2010,120
Miles of inland waterway,Connecticut,2015,120
Miles of inland waterway,Connecticut,2016,120
Miles of inland waterway,Connecticut,2017,120
Miles of inland waterway,Connecticut,2018,120
Miles of inland waterway,Delaware,2010,100
Miles of inland waterway,Delaware,2015,100
Miles of inland waterway,Delaware,2016,100
Miles of inland waterway,Delaware,2017,100
Miles of inland waterway,Delaware,2018,100
Miles of inland waterway,District of Columbia,2010,10
Miles of inland waterway,District of Columbia,2015,10
Miles of inland waterway,District of Columbia,2016,10
Miles of inland waterway,District of Columbia,2017,10
Miles of inland waterway,District of Columbia,2018,10
Miles of inland waterway,Florida,2010,"1,540"
Miles of inland waterway,Florida,2015,"1,540"
Miles of inland waterway,Florida,2016,"1,540"
Miles of inland waterway,Florida,2017,"1,540"
Miles of inland waterway,Florida,2018,"1,540"
Miles of inland waterway,Georgia,2010,720
Miles of inland waterway,Georgia,2015,720
Miles of inland waterway,Georgia,2016,720
Miles of inland waterway,Georgia,2017,720
Miles of inland waterway,Georgia,2018,720
Miles of inland waterway,Idaho,2010,110
Miles of inland waterway,Idaho,2015,110
Miles of inland waterway,Idaho,2016,110
Miles of inland waterway,Idaho,2017,110
Miles of inland waterway,Idaho,2018,110
Miles of inland waterway,Illinois,2010,"1,100"
Miles of inland waterway,Illinois,2015,"1,100"
Miles of inland waterway,Illinois,2016,"1,100"
Miles of inland waterway,Illinois,2017,"1,100"
Miles of inland waterway,Illinois,2018,"1,100"
Miles of inland waterway,Indiana,2010,350
Miles of inland waterway,Indiana,2015,350
Miles of inland waterway,Indiana,2016,350
Miles of inland waterway,Indiana,2017,350
Miles of inland waterway,Indiana,2018,350
Miles of inland waterway,Iowa,2010,490
Miles of inland waterway,Iowa,2015,490
Miles of inland waterway,Iowa,2016,490
Miles of inland waterway,Iowa,2017,490
Miles of inland waterway,Iowa,2018,490
Miles of inland waterway,Kansas,2010,120
Miles of inland waterway,Kansas,2015,120
Miles of inland waterway,Kansas,2016,120
Miles of inland waterway,Kansas,2017,120
Miles of inland waterway,Kansas,2018,120
Miles of inland waterway,Kentucky,2010,"1,590"
Miles of inland waterway,Kentucky,2015,"1,590"
Miles of inland waterway,Kentucky,2016,"1,590"
Miles of inland waterway,Kentucky,2017,"1,590"
Miles of inland waterway,Kentucky,2018,"1,590"
Miles of inland waterway,Louisiana,2010,"2,820"
Miles of inland waterway,Louisiana,2015,"2,820"
Miles of inland waterway,Louisiana,2016,"2,820"
Miles of inland waterway,Louisiana,2017,"2,820"
Miles of inland waterway,Louisiana,2018,"2,820"
Miles of inland waterway,Maine,2010,70
Miles of inland waterway,Maine,2015,70
Miles of inland waterway,Maine,2016,70
Miles of inland waterway,Maine,2017,70
Miles of inland waterway,Maine,2018,70
Miles of inland waterway,Maryland,2010,530
Miles of inland waterway,Maryland,2015,530
Miles of inland waterway,Maryland,2016,530
Miles of inland waterway,Maryland,2017,530
Miles of inland waterway,Maryland,2018,530
Miles of inland waterway,Massachusetts,2010,90
Miles of inland waterway,Massachusetts,2015,90
Miles of inland waterway,Massachusetts,2016,90
Miles of inland waterway,Massachusetts,2017,90
Miles of inland waterway,Massachusetts,2018,90
Miles of inland waterway,Minnesota,2010,260
Miles of inland waterway,Minnesota,2015,260
Miles of inland waterway,Minnesota,2016,260
Miles of inland waterway,Minnesota,2017,260
Miles of inland waterway,Minnesota,2018,260
Miles of inland waterway,Mississippi,2010,870
Miles of inland waterway,Mississippi,2015,870
Miles of inland waterway,Mississippi,2016,870
Miles of inland waterway,Mississippi,2017,870
Miles of inland waterway,Mississippi,2018,870
Miles of inland waterway,Missouri,2010,"1,030"
Miles of inland waterway,Missouri,2015,"1,030"
Miles of inland waterway,Missouri,2016,"1,030"
Miles of inland waterway,Missouri,2017,"1,030"
Miles of inland waterway,Missouri,2018,"1,030"
Miles of inland waterway,Nebraska,2010,320
Miles of inland waterway,Nebraska,2015,320
Miles of inland waterway,Nebraska,2016,320
Miles of inland waterway,Nebraska,2017,320
Miles of inland waterway,Nebraska,2018,320
Miles of inland waterway,New Hampshire,2010,10
Miles of inland waterway,New Hampshire,2015,10
Miles of inland waterway,New Hampshire,2016,10
Miles of inland waterway,New Hampshire,2017,10
Miles of inland waterway,New Hampshire,2018,10
Miles of inland waterway,New Jersey,2010,360
Miles of inland waterway,New Jersey,2015,360
Miles of inland waterway,New Jersey,2016,360
Miles of inland waterway,New Jersey,2017,360
Miles of inland waterway,New Jersey,2018,360
Miles of inland waterway,New York,2010,390
Miles of inland waterway,New York,2015,390
Miles of inland waterway,New York,2016,390
Miles of inland waterway,New York,2017,390
Miles of inland waterway,New York,2018,390
Miles of inland waterway,North Carolina,2010,"1,150"
Miles of inland waterway,North Carolina,2015,"1,150"
Miles of inland waterway,North Carolina,2016,"1,150"
Miles of inland waterway,North Carolina,2017,"1,150"
Miles of inland waterway,North Carolina,2018,"1,150"
Miles of inland waterway,Ohio,2010,440
Miles of inland waterway,Ohio,2015,440
Miles of inland waterway,Ohio,2016,440
Miles of inland waterway,Ohio,2017,440
Miles of inland waterway,Ohio,2018,440
Miles of inland waterway,Oklahoma,2010,150
Miles of inland waterway,Oklahoma,2015,150
Miles of inland waterway,Oklahoma,2016,150
Miles of inland waterway,Oklahoma,2017,150
Miles of inland waterway,Oklahoma,2018,150
Miles of inland waterway,Oregon,2010,680
Miles of inland waterway,Oregon,2015,680
Miles of inland waterway,Oregon,2016,680
Miles of inland waterway,Oregon,2017,680
Miles of inland waterway,Oregon,2018,680
Miles of inland waterway,Pennsylvania,2010,260
Miles of inland waterway,Pennsylvania,2015,260
Miles of inland waterway,Pennsylvania,2016,260
Miles of inland waterway,Pennsylvania,2017,260
Miles of inland waterway,Pennsylvania,2018,260
Miles of inland waterway,Rhode Island,2010,40
Miles of inland waterway,Rhode Island,2015,40
Miles of inland waterway,Rhode Island,2016,40
Miles of inland waterway,Rhode Island,2017,40
Miles of inland waterway,Rhode Island,2018,40
Miles of inland waterway,South Carolina,2010,480
Miles of inland waterway,South Carolina,2015,480
Miles of inland waterway,South Carolina,2016,480
Miles of inland waterway,South Carolina,2017,480
Miles of inland waterway,South Carolina,2018,480
Miles of inland waterway,South Dakota,2010,80
Miles of inland waterway,South Dakota,2015,80
Miles of inland waterway,South Dakota,2016,80
Miles of inland waterway,South Dakota,2017,80
Miles of inland waterway,South Dakota,2018,80
Miles of inland waterway,Tennessee,2010,950
Miles of inland waterway,Tennessee,2015,950
Miles of inland waterway,Tennessee,2016,950
Miles of inland waterway,Tennessee,2017,950
Miles of inland waterway,Tennessee,2018,950
Miles of inland waterway,Texas,2010,830
Miles of inland waterway,Texas,2015,830
Miles of inland waterway,Texas,2016,830
Miles of inland waterway,Texas,2017,830
Miles of inland waterway,Texas,2018,830
Miles of inland waterway,Virginia,2010,670
Miles of inland waterway,Virginia,2015,670
Miles of inland waterway,Virginia,2016,670
Miles of inland waterway,Virginia,2017,670
Miles of inland waterway,Virginia,2018,670
Miles of inland waterway,Washington,2010,"1,060"
Miles of inland waterway,Washington,2015,"1,060"
Miles of inland waterway,Washington,2016,"1,060"
Miles of inland waterway,Washington,2017,"1,060"
Miles of inland waterway,Washington,2018,"1,060"
Miles of inland waterway,West Virginia,2010,680
Miles of inland waterway,West Virginia,2015,680
Miles of inland waterway,West Virginia,2016,680
Miles of inland waterway,West Virginia,2017,680
Miles of inland waterway,West Virginia,2018,680
Miles of inland waterway,Wisconsin,2010,230
Miles of inland waterway,Wisconsin,2015,230
Miles of inland waterway,Wisconsin,2016,230
Miles of inland waterway,Wisconsin,2017,230
Miles of inland waterway,Wisconsin,2018,230
Bridges,United States,2010,"602,292"
Bridges,United States,2015,"609,539"
Bridges,United States,2016,"612,079"
Bridges,United States,2017,"612,677"
Bridges,United States,2018,"613,761"
Bridges,United States,2019,"614,735"
Bridges,United States,2020,"616,088"
Bridges,United States,2021,"617,254"
Bridges,United States,2022,"618,253"
Bridges,United States,2023,"621,581"
Bridges,United States,2024,"623,218"
Bridges,United States,2025,"624,193"
Bridges,Alabama,2010,"16,018"
Bridges,Alabama,2015,"16,095"
Bridges,Alabama,2016,"16,098"
Bridges,Alabama,2017,"16,129"
Bridges,Alabama,2018,"16,130"
Bridges,Alabama,2019,"16,162"
Bridges,Alabama,2020,"16,155"
Bridges,Alabama,2021,"16,164"
Bridges,Alabama,2022,"16,162"
Bridges,Alabama,2023,"16,176"
Bridges,Alabama,2024,"16,205"
Bridges,Alabama,2025,"16,181"
Bridges,Alaska,2010,"1,134"
Bridges,Alaska,2015,"1,493"
Bridges,Alaska,2016,"1,488"
Bridges,Alaska,2017,"1,569"
Bridges,Alaska,2018,"1,592"
Bridges,Alaska,2019,"1,595"
Bridges,Alaska,2020,"1,645"
Bridges,Alaska,2021,"1,632"
Bridges,Alaska,2022,"1,626"
Bridges,Alaska,2023,"1,675"
Bridges,Alaska,2024,"1,685"
Bridges,Alaska,2025,"1,660"
Bridges,Arizona,2010,"7,579"
Bridges,Arizona,2015,"8,056"
Bridges,Arizona,2016,"8,154"
Bridges,Arizona,2017,"8,289"
Bridges,Arizona,2018,"8,294"
Bridges,Arizona,2019,"8,320"
Bridges,Arizona,2020,"8,428"
Bridges,Arizona,2021,"8,467"
Bridges,Arizona,2022,"8,497"
Bridges,Arizona,2023,"8,544"
Bridges,Arizona,2024,"8,573"
Bridges,Arizona,2025,"8,587"
Bridges,Arkansas,2010,"12,587"
Bridges,Arkansas,2015,"12,853"
Bridges,Arkansas,2016,"12,871"
Bridges,Arkansas,2017,"12,864"
Bridges,Arkansas,2018,"12,892"
Bridges,Arkansas,2019,"12,902"
Bridges,Arkansas,2020,"12,946"
Bridges,Arkansas,2021,"12,941"
Bridges,Arkansas,2022,"12,955"
Bridges,Arkansas,2023,"12,962"
Bridges,Arkansas,2024,"12,974"
Bridges,Arkansas,2025,"12,978"
Bridges,California,2010,"24,558"
Bridges,California,2015,"25,318"
Bridges,California,2016,"25,431"
Bridges,California,2017,"25,657"
Bridges,California,2018,"25,737"
Bridges,California,2019,"25,771"
Bridges,California,2020,"25,763"
Bridges,California,2021,"25,737"
Bridges,California,2022,"25,810"
Bridges,California,2023,"25,818"
Bridges,California,2024,"25,848"
Bridges,California,2025,"25,975"
Bridges,Colorado,2010,"8,506"
Bridges,Colorado,2015,"8,624"
Bridges,Colorado,2016,"8,682"
Bridges,Colorado,2017,"8,717"
Bridges,Colorado,2018,"8,786"
Bridges,Colorado,2019,"8,785"
Bridges,Colorado,2020,"8,829"
Bridges,Colorado,2021,"8,869"
Bridges,Colorado,2022,"8,917"
Bridges,Colorado,2023,"8,954"
Bridges,Colorado,2024,"8,965"
