OBJECTID,KBIF ID,Facility Name,Facility Street Address,City Name,State,Zip Code ,County Name,Area Development District,NAICS Code,Building Sq Footage,Number of Employees,Average Trucks per Day,Truck Bays,Average Trains Week,Facility Length of Rail,Number of Rail Doors,Prior CHAF ID,Completed CHAF ID,Existing CHAF ID,Intermodal Connector Needs,Comments,Meets Criteria,Area Development District Name,County Number,District Number,District Name,RT Unique,Road Name,Route Prefix,Route Suffix,Route Label,Update Indicator,GUID_Str,End Active Date,GlobalID,last_edited_date,created_user,created_date,last_edited_user,MP,RT_NUMBER,x,y
217,0,Advance Distribution Services,2349 Millers Lane,Louisville,KY,40216,Jefferson,KIPDA,"493110, 541614, 561910",250000,83,40,20,0,0,0,, , , ,NEW FEATURE,YES,KIPDA ADD,56,5,Louisville,,,,,,2,63BA5939-BCA5-4BDF-84A7-1ABE7B430194,,ceb992fe-fe68-424c-928b-3f046b0bef97,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9551678.5554,4610276.1744
218,217607900,Solrac Corp,275 Mitch McConnell Way,Bowling Green,KY,42101-7516,Warren,BRADD,"339999, 561910",116488,48,0,10,0,0,0, , , , ,MOVED FEATURE,YES,BARREN RIVER ADD,114,3,Bowling Green,,,,,,2,0D1FAB96-8262-45E1-9B2D-1AE3162DE080,,ed233827-f178-4c8e-83fa-09e4b18c2946,6/2/2020 12:00:00 AM,,,EMILY.BARTEE,,,-9629663.203,4429504.5011
219,0,Donaldson Rd Center,1325 Donaldson Hwy,Erlanger,KY, ,Boone,NKADD,71,100000,0,45,45,0,0,0, , , , , ,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,444A92A2-38A4-42AF-B08C-1B16F9A9918E,,1a877b48-72cf-4386-9a91-c0fec3687371,9/1/2023 12:00:00 AM,,,EMILY.BARTEE,,,-9421538.2903,4727021.0539
220,202618100,NHK Spring Precision of America Inc,10600 Freeport Drive,Louisville,KY,40258,Jefferson,KIPDA,332613,93000,300,16,8,0,0,0,, , , , ,YES,KIPDA ADD,56,5,Louisville,,,,,,2,D6FAC42A-8243-41BD-9688-1B1D4D5AF16F,,9b47fc19-9bc3-4aea-99e0-5b90dcdf10f0,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9560452.735,4598086.5091
221,0,Packaging Unlimited,1729 McCloskey Avenue,Louisville,KY,40210,Jefferson,KIPDA,"322211, 326199, 339999, 493110, 561910",100000,50,10,5,0,0,0,, , , ,NEW FEATURE,YES,KIPDA ADD,56,5,Louisville,,,,,,2,A238D1DA-3731-4DFF-9952-1B3AD14666C8,,9659b443-012b-42e2-843f-21bd5036138f,7/20/2022 12:00:00 AM,,,EMILY.BARTEE,,,-9549986.3681,4611344.8173
222,8653,Polyone Corp,4250 Bells Ln,Louisville,KY,40211,Jefferson,KIPDA,326199,200000,39,14,7,0,0,0,, , , ,MOVED FEATURE,YES,KIPDA ADD,56,5,Louisville,,,,,,2,F1412EF2-9129-47C6-B253-1B5A04EEDC2A,,f7f08e2c-4634-4d9e-9fbb-2acfd2d56a44,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9554616.1008,4610830.3546
223,0,Pella,785 Lindbergh Ct,Hebron,KY,41048,Boone,NKADD,423310,92000,100,46,23,0,0,0, , , , ,NEW FEATURE,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,3A995487-A08D-4508-91FE-1B707377A040,,319b6576-440a-478e-a33a-c47933d70a17,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9424227.028,4732746.4463
224,0,CertainTeed Gypsum,6050 42 E,Ghent,KY, ,Carroll,NKADD,31,456000,0,0,0,0,2600,0, , , , , ,YES,NORTHERN KENTUCKY ADD,21,6,Covington,,,,,,2,A0233D3B-2E5F-4611-941D-1B71DAFEBE02,,87462ee6-5f45-4710-99cd-7113603ab3f2,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9472202.5444,4681289.9539
225,14547,Graf Brothers Flooring,679 Johnson Lane,South Shore,KY,41175-,Greenup,FIVCO,"321918, 423310",213500,184,0,0,0,0,0, , , , ,"COMPANY UNRESPONSIVE TO INFO REQUESTS, MULTIPLE BUIDLINGS",YES,FIVCO ADD,45,9,Flemingsburg,,,,,,2,41F0CC9C-4B31-4E05-BA4D-1B8C0B67683A,,87d5063d-212a-4c83-9edf-3b2ece621a8e,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9229758.0308,4683657.6868
226,0,Eddie Kane Steel Products,300 Moremen Rd,Brandenburg,KY,40108,Meade,LTADD,331110,180000,25,0,0,0,0,0, , , , ,NEW FACILITY,YES,LINCOLN TRAIL ADD,82,4,Elizabethtown,,,,,,2,6F2A699D-6DDE-4677-B7EB-1B92FC79C24F,,98e078c7-f985-4c50-909f-e7e030e412e7,6/17/2024 12:00:00 AM,,,EMILY.BARTEE,,,-9591067.4561,4578470.9092
227,0,QuestMark,2100 Conner Rd,Hebron,KY,41048,Boone,NKADD,238300,63000,40,46,23,0,0,0, , , , ,NEW FEATURE,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,983E3180-087F-4BED-BC59-1B982A596DAC,,f598ae37-0cad-4df3-8e75-135322ca8569,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9428936.5938,4729972.1272
228,195010600,Arvato Digital Services LLC,4600 Commerce Crossings Dr,Louisville,KY,40229,Jefferson,KIPDA,"454111, 493110, 561910",160000,147,24,12,0,0,0,, , , ,EMP UPDATED,YES,KIPDA ADD,56,5,Louisville,,,,,,2,9F88D377-BCFE-436E-9CE2-1BE47F1B3686,,438fb88f-ed6f-436a-b539-beaf4eb27b4e,8/1/2022 12:00:00 AM,,,EMILY.BARTEE,,,-9538172.1694,4593014.3597
229,0,"Brinks, America's Floor Source, European Surfaces", 10801 - 10811 Pantside Drive,Jeffersontown,KY,40299,Jefferson,KIPDA,561613,72000,0,32,16,0,0,0,, , , ,NEW FEATURE,YES,KIPDA ADD,56,5,Louisville,,,,,,2,DC8CB9C7-E773-458B-8CD3-1C0A0E521512,,34131843-5785-4cdd-b1a1-d36bc934ad65,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9524080.5424,4609082.945
230,267918100,American Howa Kentucky Inc,445 Jody Richards Drive,Bowling Green,KY,42101-,Warren,BRADD,336390,238748,260,0,16,0,0,0, , , , ,MOVED FEATURE,YES,BARREN RIVER ADD,114,3,Bowling Green,,,,,,2,D2AE707C-8A1C-4ABF-8B43-1C195A130182,,b00947c0-73f8-49c5-8fbc-38eaf2b04041,6/30/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9609051.7046,4444357.9034
231,305507900,Alabama Wire Products Inc,1100 West Park Road,Elizabethtown,KY,42701-,Hardin,LTADD,331222,91200,62,15,4,0,0,0, , , , ,MOVED FEATURE,YES,LINCOLN TRAIL ADD,47,4,Elizabethtown,,,,,,2,ADB35003-21B3-4E14-B35C-1C482C3B5226,,58b6ee46-2d4a-4424-b0c6-9ca62c54f2c1,6/10/2020 12:00:00 AM,,,EMILY.BARTEE,,,-9561284.2,4535124.1
232,0,Cardinal Commercial Products,4915 Heller Street,Louisville,KY,40218,Jefferson,KIPDA, ,170000,0,60,30,0,0,0,, , , ,NEW FEATURE,YES,KIPDA ADD,56,5,Louisville,,,,,,2,80691D01-2853-4565-8526-1CA0828444F2,,934983a7-5923-4140-900c-333d35879346,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9535247.9759,4604952.9192
233,0,Grainger Industrial Supply,1351 Georgetown Rd,Lexington,KY,40511,Fayette,BGADD, ,26144,0,8,4,0,0,0, , , , ,NEW FEATURE; ADT EST,YES,BLUEGRASS ADD,34,7,Lexington,,,,,,2,2C7DE753-65F5-4551-9339-1CFCA9F420E3,,d3ce82b7-7e46-4ec7-907b-4e85c2c6e8fa,6/30/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9407478.1737,4590388.0567
234,6126,Cooper Standard Automotive,250 Oak Grove Dr,Mt. Sterling,KY,40353-8020,Montgomery,GWADD,"326291, 336390",184000,600,12,6,0,0,0, , , , ,Estimated Trucks/Day,YES,GATEWAY ADD,87,7,Lexington,,,,,,2,65ADE339-BF0D-4513-BDC8-1D2C1FB717E6,,88442924-af9e-4c47-a138-a2a13b4da607,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9339533.2221,4593648.8013
235,362607903,Bio Pharma Logistics,7000 Distribution Drive,Louisville,KY,40258,Jefferson,KIPDA,493120,46000,5,22,11,0,0,0,, , , ,MOVED FEATURE,YES,KIPDA ADD,56,5,Louisville,,,,,,2,4C1D6261-16BD-4B6C-8286-1D3853E6A752,,84a40b0c-e599-4fb1-8022-65939caa636d,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9560558.7596,4600614.9866
236,671609400,Coca Cola Bottling Co. Consolidated CCBCC,7100 Global Drive,Louisville,KY,40210,Jefferson,KIPDA,312111,313600,325,56,28,0,0,0,, , , ,MOVED FEATURE,YES,KIPDA ADD,56,5,Louisville,,,,,,2,7F248940-B9D1-4563-83C6-1D5575024B98,,fb3b12c9-38d5-4937-87ff-0f44ed863881,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9561299.8906,4598921.5674
237,0,A Comancho,2791 Circleport Dr,Erlanger,KY, ,Boone,NKADD,72,37700,0,5,5,0,0,0, , , , , ,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,078AFD12-8298-4AA3-8A5B-1DCF5F779E0A,,7b5cbb59-482e-404c-8039-e3790cda9255,9/1/2023 12:00:00 AM,,,EMILY.BARTEE,,,-9421244.7981,4729162.3921
238,1797,Atlas Machine & Supply Inc,7000 Global Drive,Louisville,KY,40258,Jefferson,KIPDA,"332322, 332710, 493110, 561499",100000,200,6,3,0,0,0,, , , ,MOVED FEATURE,YES,KIPDA ADD,56,5,Louisville,,,,,,2,BDDA4005-0082-4484-B786-1DEC5E8969A2,,0c6a8cc0-17ab-45c5-a84a-1f7d07ef1973,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9561101.9851,4599034.6227
239,4451,Tekno Inc,One Wall St,Cave City,KY,42127-8869,Barren,BRADD,"333249, 333318, 333922",141097,35,0,6,0,0,0, , , , , ,YES,BARREN RIVER ADD,5,3,Bowling Green,,,,,,2,0BC6C7A4-7152-42D2-9B67-1DF52984AAA5,,1ad61403-6a10-4354-8ea6-6b27c3734d20,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9569611.5841,4457341.2422
240,0,RESPIRATORY INC,82 SPRUCE ST,Murray,KY,42071,Calloway,PUADD, ,141000,0,0,5,0,0,0, , , , ,PUADD NEEDS TO SURVEY,YES,PURCHASE ADD,18,1,Paducah,,,,,,2,8F22079F-DE75-4933-8F63-1E0405AB137F,,12ee8a31-fce4-4492-b6b3-8873196ae088,9/1/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9828643.2666,4385602.0016
241,0,Davitt and Hanser Music Co Inc,3015 Kustom Drive,Hebron,KY, ,Boone,NKADD,33,121200,0,10,11,0,0,0, , , , , ,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,211D6666-70ED-4CEC-936C-1E3CBE8AD230,,885fe919-5e2d-42d7-b044-f50b9f54500e,9/1/2023 12:00:00 AM,,,EMILY.BARTEE,,,-9421429.1188,4731439.2798
242,1894,GE Aircraft Engine Div,3050 Nebo Rd,Madisonville,KY,42431-8848,Hopkins,PEADD,"333611, 336412, 336413",377000,541,3,4,0,0,0, , , , ,(270) 825-6400,YES,PENNYRILE ADD,54,2,Madisonville,,,,,,2,195ACE0B-75AD-45F4-9229-1E48C323B4B0,,1519f801-e7f7-494d-9f96-686bf7694657,6/30/2020 12:00:00 AM,,,EMILY.BARTEE,,,-9745579.018,4489086.1656
243,13805,Indratech,2801 Constant Comment Place,Louisville,KY,40299,Jefferson,KIPDA,327993,120000,50,36,18,0,0,0,, , , ,MOVED FEATURE,YES,KIPDA ADD,56,5,Louisville,,,,,,2,F156D8ED-0D9D-4722-8A3F-1E6A4BEC0696,,8883c535-2064-4742-a015-515129c4bc66,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9521535.8436,4608170.076
244,1590,Plymouth Engineered Shapes,201 Commerce Ct,Hopkinsville,KY,42240-9200,Christian,PEADD,"331221, 331491, 332510",130000,122,12,6,0,0,0, , , , ,Phone (270) 886-6631,YES,PENNYRILE ADD,24,2,Madisonville,,,,,,2,A21FECEE-D38F-4264-A1A2-1EF02488CADE,,4bd6d79a-e7e2-4aec-bc86-023d5e364ea8,6/15/2020 12:00:00 AM,,,EMILY.BARTEE,,,-9733877.3507,4414835.9435
245,195707900,Camping World East Coast Distribution Center,81 Page Drive,Franklin,KY,42134-6250,Simpson,BRADD,493110,252350,70,0,29,0,0,0, , , , , ,YES,BARREN RIVER ADD,107,3,Bowling Green,,,,,,2,F1814460-3973-4AB7-B57B-1F0E120CB08E,,95d15c96-c120-461d-ad8e-abcd02503a78,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9631012.6142,4399071.9682
246,4455,MSSC,102 Bill Bryan Blvd,Hopkinsville,KY,42240-6800,Christian,PEADD,"332613, 336390",180000,165,12,6,0,0,0, , , , ,Phone (270) 887-3000. No answer on phone,YES,PENNYRILE ADD,24,2,Madisonville,,,,,,2,99A46E45-F85F-4069-B31B-1F4A7A0F994B,,7588d9ef-7526-4879-b145-c8989b818aae,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9733404.2903,4415271.4976
247,0,Klosterman Baking Companuy,2100 Litton Ln,Hebron,KY,41048,Boone,NKADD,311811,157000,75,30,15,0,0,0, , , , ,NEW FEATURE,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,10C3D2F9-D1B7-4B99-9AE2-1F5C37F60D4B,,f6855d37-c970-4c2c-92aa-ca36bfe2e10c,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9429985.7673,4732936.145
248,200905700,Robert Bosch Automotive Steering LLC,15 Spiral Drive,Florence,KY,41042-,Boone,NKADD,336330,525799,200,25,23,0,0,0, , , , ,MOVED FEATURE,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,1B052C78-A5EB-4B76-B260-1F5C83E64534,,bc2a5a0d-324b-4fa7-a3cc-468ffaf4a469,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9422437.1232,4724358.1959
249,13866,Verst Group Logistics Inc,340 Shorland Dr,Walton,KY,41094-9328,Boone,NKADD,"493110, 541614",189000,6,30,24,5,950,7, , , , ,MOVED FEATURE,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,00CA4311-4437-420C-94BF-1F5FE0977E1A,,9e79cabd-17c2-4f69-942c-1f466ff2a459,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9419636.3252,4710710.7158
250,6412,Advanced Green Components LLC,4005 Corporate Dr,Winchester,KY,40391-9680,Clark,BGADD,"332111, 339991",120000,100,10,5,0,0,0, , , , ,ATD EST,YES,BLUEGRASS ADD,25,7,Lexington,,,,,,2,AED2DD0E-F737-4EB4-8ADE-1F77FECE3BD0,,ea10b033-0f5b-4c61-b461-d7f414ef220d,6/30/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9371507.5591,4582449.1458
251,3646,Trace Die Cast Inc,140 Graham Ave,Bowling Green,KY,42101-9180,Warren,BRADD,331523,164687,540,0,17,0,0,0, , , , , ,YES,BARREN RIVER ADD,114,3,Bowling Green,,,,,,2,A8E82C9E-5D7F-4647-AB24-1F7DFA3EECCA,,8f0aa2b5-18f5-4e3c-af96-e94cdf0f7ac0,6/2/2020 12:00:00 AM,,,EMILY.BARTEE,,,-9616749.798,4441131.98
252,10001,Safran Landing Systems Kentucky,One Carbon Way,Walton,KY,41094,Boone,NKADD,336413,209300,300,12,6,0,0,0, , , , ,MOVED FEATURE,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,1D17098D-F5C5-4F4A-932F-1F9C5216C97C,,2d49afb2-666f-4167-b359-745e55631bce,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9418678.2277,4710714.6351
253,483613102,"UACJ Automotive Whitehall Industries, Inc.",5600 Commerce Dr,Paducah,KY,42001-,McCracken,PUADD,336390,100000,151,4,4,0,0,0, , , , ,Estimate,YES,PURCHASE ADD,73,1,Paducah,,,,,,2,B16D003D-40A9-4C5E-B523-1FF01D247466,,4236dfa4-ebec-4eab-81b3-db5bae0fa855,6/23/2020 12:00:00 AM,,,EMILY.BARTEE,,,-9874325.5026,4451328.3846
254,0,GO Pantry,7960 Kentucky Dr,Florence,KY,41042,Boone,NKADD,813219,53000,10,20,11,0,0,0, , , , ,Multiple Tenents,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,B38949BE-286B-4569-AA0B-1FF209957E4A,,84be864e-6497-450c-bcb6-5437d7739251,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9420919.7847,4719225.7844
255,0,NFI CPS,3680 Langlley Dr,Hebron,KY, ,Boone,NKADD,81,250000,0,38,38,0,0,0, , , , , ,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,7D203C14-1123-4663-9EAD-2012BE734B79,,60bf325c-cc72-4207-b95d-777299fa91d0,9/1/2023 12:00:00 AM,,,EMILY.BARTEE,,,-9430619.4795,4730588.9767
256,529513104,Faurecia Seating,65 Kingbrook Parkway,Simpsonville,KY,40067,Shelby,KIPDA,336390,150452,450,40,23,0,0,0,, , , ,MOVED FEATURE,YES,KIPDA ADD,106,5,Louisville,,,,,,2,4F96930F-8D14-4D30-95D6-204D87FA9EA8,,a169d960-bbe5-42e2-8af0-8b87696075b3,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9499529.5957,4610453.2607
257,0,Titan Transfer,2402 Ralph Avenue,Louisville,KY,40216,Jefferson,KIPDA,484121,19000,0,32,16,0,0,0,, , , ,NEW FEATURE,YES,KIPDA ADD,56,5,Louisville,,,,,,2,249053DC-D836-40F4-A83E-2053B68B33EB,,c02a9759-fbbb-43ef-a32a-374bd5ea239b,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9551976.8395,4608502.9096
258,0,"Trible's, Inc",1700 Fortune Ct #100,Lexington,KY,40509,Fayette,BGADD, ,49908,0,16,8,0,0,0, , , , ,NEW FEATURE; ADT EST,YES,BLUEGRASS ADD,34,7,Lexington,,,,,,2,A6AF05C8-8EB7-4CE5-8D58-20923F96DCA7,,3499bcd4-3d3e-438c-ad32-4e28a87d2a33,6/30/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9400869.8113,4585172.8805
259,5132,Parallel Environmental Services Corporation,1620 Bernheim Ln,Louisville,KY,40210-2212,Jefferson,KIPDA,"325193, 562998",200000,61,6,3,0,0,0,, , , ,MOVED FEATURE - KIPDA NEEDS TO SURVEY AND AVERIFY ATTRIBUTES,YES,KIPDA ADD,56,5,Louisville,,,,,,2,F131BAB4-A04A-4879-AEF9-20F68ECB3764,,5d29f1a9-928b-463f-ba12-1a663454d8e7,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9549803.5571,4610357.9229
260,0,"File Management Pros LLC, Office & Industrial Specialists", 7735 National Turnpike,Louisville,KY,40214,Jefferson,KIPDA,561110,206000,0,46,23,0,0,0,IP20080238, , , ,NEW FEATURE,YES,KIPDA ADD,56,5,Louisville,,,,,,2,C014893C-0AE5-4EDE-ACD6-20FD72EA9AF9,,7831109d-0581-4367-b418-acd15fbd54ac,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9545542.6409,4599175.8577
261,0,Winchester Warehouse,1465 W Lexington Ave,Winchester,KY,40391,Clark,BGADD, ,151576,0,6,3,0,0,0, , , , ,NEW FEATURE; ADT EST BUILDING TO NORTH ALSO PART OF PROPERTY,YES,BLUEGRASS ADD,25,7,Lexington,,,,,,2,FAFD4835-CF70-4D0A-87EF-2105ACC58BF6,,7a00a803-4228-4717-9059-af63f4666fc9,6/30/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9373980.5298,4580389.704
262,0,Parker Commercial Storage,2900 7th Street Road,Louisville,KY,40216,Jefferson,KIPDA,493110,252000,0,24,12,0,0,0,, , , ,NEW FEATURE,YES,KIPDA ADD,56,5,Louisville,,,,,,2,D2E4A684-3F05-4B19-9A8E-210AC8E77701,,8f155d36-0dff-4531-a9db-95bbb9fa21e7,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9549930.3925,4609407.6041
263,0,Ups,1500 Worldwide Blvd,Hebron,KY,41048,Boone,NKADD,561431,300000,70,90,50,0,0,0, , , , ,NEW FEATURE,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,CAF60AC9-6F14-4BC9-AAC8-21341F015312,,36a8755f-de95-4c30-8ab1-574fe3a0b5d6,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9431289.9266,4733891.9269
264,0,"Postal Connections, Allison's Flooring Installation",10454 Bluegrass Parkway,Jeffersontown,KY,40299,Jefferson,KIPDA,"561910, 238330",36000,0,28,14,0,0,0, , , , ,2024 UPDATE NAME NAICS,YES,KIPDA ADD,56,5,Louisville,,,,,,2,FCCA9916-28C5-4C22-85F5-2145EEDEB4A6,,3380024d-cd3a-4118-adf1-603e237343da,6/30/2024 12:00:00 AM,,,EMILY.BARTEE,,,-9524736.0539,4610791.0715
265,0,FedEx Shipping Center,4901 Crittenden Drive,Louisville,KY,40209,Jefferson,KIPDA,484121,100000,0,66,33,0,0,0,, , , ,NEW FEATURE,YES,KIPDA ADD,56,5,Louisville,,,,,,2,63530425-1B7F-45D2-8F37-21626AB827B2,,d2b1c3a9-0201-4c1a-b8bb-b412d3884e24,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9545522.2991,4604538.1896
266,0,Blaze Products Corporation,252 Pearce Industrial Road,Shelbyville,KY,40065,Shelby,KIPDA,325194,104200,18,6,3,0,0,0,, , , ,NEW FEATURE,YES,KIPDA ADD,106,5,Louisville,,,,,,2,5F4F41FD-F3E1-4BD7-BB23-21669315AC5F,,679a8d22-6d15-4f70-81c7-df70cc52e340,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9491176.0611,4608426.4089
267,0,"Infiltrator Water Technologies, BLDG 4, see comments",2400 Corporate Dr,Winchester,KY,40391,Clark,BGADD, ,110965,0,0,0,0,0,0, , , , ,"NEW FEATURE; Should be removed, one of many buildings for facility",YES,BLUEGRASS ADD,25,7,Lexington,,,,,,2,9E86B59A-7DDD-4003-9554-21768A098D20,,e1bac992-4f06-44f0-a211-1a6f75addcbf,6/30/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9370657.8664,4582558.4657
268,1978,Belden Inc,1200 W Columbia Ave,Monticello,KY,42633-1672,Wayne,LCADD,331420,250000,130,20,10,0,0,0, , , , ,MOVED FEATURE ESTIMATED NUMBER OF TRUCKS,YES,LAKE CUMBERLAND ADD,116,8,Somerset,,,,,,2,B6C735FB-E963-410C-856D-218E8D2B205C,,9f86eb6b-e782-40ee-928b-1f4633692d7c,6/29/2020 12:00:00 AM,,,EMILY.BARTEE,,,-9446948.3252,4417123.5787
269,1622,Vivid Impact Company LLC,10116 Bunsen Way,Jeffersontown,KY,40299-2504,Jefferson,KIPDA,"323111, 323120",73000,145,20,10,0,0,0,, , , ,MOVED FEATURE,YES,KIPDA ADD,56,5,Louisville,,,,,,2,934EC720-E661-4C7C-9988-21A406BD937B,,bf24b6ca-a0d4-478f-9625-3059f3cf38aa,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9525184.263,4609732.9688
270,0,J & J Transportation, 11400 Plantside Drive,Louisville,KY,40299,Jefferson,KIPDA,541614,37400,0,32,16,0,0,0,, , , ,NEW FEATURE,YES,KIPDA ADD,56,5,Louisville,,,,,,2,646ED62B-6A45-441A-B8A0-21A88ED6A44B,,1d258db4-e502-466b-99c1-fde88c5d3c5e,6/30/2024 12:00:00 AM,,,EMILY.BARTEE,,,-9522826.4706,4609044.4657
271,3596,Graphic Dimensions Inc,1459 Jamike Avenue,Erlanger,KY,41018-,Boone,NKADD,323111,20000,15,20,16,0,0,0, , , , ,MOVED FEATURE,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,C352AAB9-1B19-4025-9B9D-21C124ECB5F5,,3efdeacd-8f57-48fc-9c8c-257652986add,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9421113.8858,4727914.0281
272,230,GE On Wing Support Div,3000  Earhart Ct. Ste. 100,Hebron,KY,41048-8296,Boone,NKADD,"333618, 336412",23000,42,6,3,0,0,0, , , , ,LOCATED FEATURE,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,82D6C17E-FCA4-489B-A2DD-21D3771A0A02,,af3e4ee0-a53c-4f72-81c8-1fa1d55abba7,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9425011.9071,4732895.4607
273,0,Maxey Logistics,400 Isaac Shelby Drive,Shelbyville,KY,40065,Shelby,KIPDA,488510,78100,0,28,14,0,0,0,, , , ,NEW FEATURE,YES,KIPDA ADD,106,5,Louisville,,,,,,2,9705E5C4-32EC-4FBD-9E1C-21D40DF23D9B,,7f042851-383c-44a4-b0b1-cd483b6c64f1,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9492567.0931,4607999.8811
274,6828,TCO LLC,1349 KY HWY 3041,Corbin,KY,40701,Knox,CVADD,"336320, 493110",135000,180,16,8,0,0,0, , , , ,UPDATED 6/30/2020,YES,CUMBERLAND VALLEY ADD,61,11,Manchester,,,,,,2,98D037DE-2BC0-41BA-A44C-21DE5C538C91,,104073f0-2e56-4303-ab86-b20e11ff819b,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9356809.9845,4429296.7732
275,3990,Sumitomo Electric Wiring Systems Inc,2687 Old Gallatin Rd,Scottsville,KY,42164-8921,Allen,BRADD,"332119, 333249, 336320",130136,400,0,14,0,0,0, , , , , ,YES,BARREN RIVER ADD,2,3,Bowling Green,,,,,,2,1BD6F39B-F691-4560-A774-21E591ECAC24,,ebaeb7b9-4a64-4c92-b9b4-153779981f49,6/30/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9597792.2229,4400940.9916
276,1990,Lantech.com LLC,11000 Bluegrass Pkwy,Louisville,KY,40299-2399,Jefferson,KIPDA,333993,220000,350,24,12,0,0,0,IP20210092, , , , ,YES,KIPDA ADD,56,5,Louisville,,,,,,2,18AB56A9-4E1A-4C52-A5BA-21EFCAFABCFB,,b3920054-3021-4ddb-9988-b86c9f8a8bfc,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9523638.1042,4610530.8071
277,2542,Quad Graphics,100 US 60 Bypass,Versailles,KY,40384-,Woodford,BGADD,"323117, 323120",1000000,710,24,12,0,0,0, , , , ,MOVED FEATURE; EMPLYMT; ATD EST,YES,BLUEGRASS ADD,120,7,Lexington,,,,,,2,8F07D32D-7D1E-4672-9892-21F08FD8D676,,c7112c4f-6d1e-406a-9499-33d8001996e3,6/30/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9430620.6459,4587378.7495
278,0,"LABSCO, Fisher & Paykel Healthcare Inc.",4310 Chefs Way,Watterson Park,KY,40218,Jefferson,KIPDA,423450,177000,0,56,28,0,0,0,, , , ,NEW FEATURE,YES,KIPDA ADD,56,5,Louisville,,,,,,2,A8B7B84C-624D-46E4-95CA-220F6C02E8E7,,3ec5b0ce-a23d-434a-9112-81d643d3df21,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9537679.6672,4605305.3361
